"id";"PredictorType";"P";"C";"predictor.eff";"prevy1";"datagen";"datacor";"margp.x";"alpha";"beta";"EPV";"folders"
1;"TypeI";4;0.65;"equal.effect";0.5;"gen.MVNX";0;".";-0.000968352402935579;0.283221135723196;3;"main00001"
1;"TypeI";4;0.65;"equal.effect";0.5;"gen.MVNX";0;".";-0.000968352402935579;0.283221135723196;5;"main00002"
1;"TypeI";4;0.65;"equal.effect";0.5;"gen.MVNX";0;".";-0.000968352402935579;0.283221135723196;10;"main00003"
1;"TypeI";4;0.65;"equal.effect";0.5;"gen.MVNX";0;".";-0.000968352402935579;0.283221135723196;15;"main00004"
1;"TypeI";4;0.65;"equal.effect";0.5;"gen.MVNX";0;".";-0.000968352402935579;0.283221135723196;20;"main00005"
1;"TypeI";4;0.65;"equal.effect";0.5;"gen.MVNX";0;".";-0.000968352402935579;0.283221135723196;30;"main00006"
1;"TypeI";4;0.65;"equal.effect";0.5;"gen.MVNX";0;".";-0.000968352402935579;0.283221135723196;50;"main00007"
2;"TypeI";4;0.65;"equal.effect";0.25;"gen.MVNX";0;".";-1.17418864711065;0.282022752292683;3;"main00008"
2;"TypeI";4;0.65;"equal.effect";0.25;"gen.MVNX";0;".";-1.17418864711065;0.282022752292683;5;"main00009"
2;"TypeI";4;0.65;"equal.effect";0.25;"gen.MVNX";0;".";-1.17418864711065;0.282022752292683;10;"main00010"
2;"TypeI";4;0.65;"equal.effect";0.25;"gen.MVNX";0;".";-1.17418864711065;0.282022752292683;15;"main00011"
2;"TypeI";4;0.65;"equal.effect";0.25;"gen.MVNX";0;".";-1.17418864711065;0.282022752292683;20;"main00012"
2;"TypeI";4;0.65;"equal.effect";0.25;"gen.MVNX";0;".";-1.17418864711065;0.282022752292683;30;"main00013"
2;"TypeI";4;0.65;"equal.effect";0.25;"gen.MVNX";0;".";-1.17418864711065;0.282022752292683;50;"main00014"
3;"TypeI";4;0.65;"equal.effect";0.125;"gen.MVNX";0;".";-2.05671826518845;0.278355673081132;3;"main00015"
3;"TypeI";4;0.65;"equal.effect";0.125;"gen.MVNX";0;".";-2.05671826518845;0.278355673081132;5;"main00016"
3;"TypeI";4;0.65;"equal.effect";0.125;"gen.MVNX";0;".";-2.05671826518845;0.278355673081132;10;"main00017"
3;"TypeI";4;0.65;"equal.effect";0.125;"gen.MVNX";0;".";-2.05671826518845;0.278355673081132;15;"main00018"
3;"TypeI";4;0.65;"equal.effect";0.125;"gen.MVNX";0;".";-2.05671826518845;0.278355673081132;20;"main00019"
3;"TypeI";4;0.65;"equal.effect";0.125;"gen.MVNX";0;".";-2.05671826518845;0.278355673081132;30;"main00020"
3;"TypeI";4;0.65;"equal.effect";0.125;"gen.MVNX";0;".";-2.05671826518845;0.278355673081132;50;"main00021"
4;"TypeI";4;0.65;"equal.effect";0.0625;"gen.MVNX";0;".";-2.83766089582681;0.274760576365678;3;"main00022"
4;"TypeI";4;0.65;"equal.effect";0.0625;"gen.MVNX";0;".";-2.83766089582681;0.274760576365678;5;"main00023"
4;"TypeI";4;0.65;"equal.effect";0.0625;"gen.MVNX";0;".";-2.83766089582681;0.274760576365678;10;"main00024"
4;"TypeI";4;0.65;"equal.effect";0.0625;"gen.MVNX";0;".";-2.83766089582681;0.274760576365678;15;"main00025"
4;"TypeI";4;0.65;"equal.effect";0.0625;"gen.MVNX";0;".";-2.83766089582681;0.274760576365678;20;"main00026"
4;"TypeI";4;0.65;"equal.effect";0.0625;"gen.MVNX";0;".";-2.83766089582681;0.274760576365678;30;"main00027"
4;"TypeI";4;0.65;"equal.effect";0.0625;"gen.MVNX";0;".";-2.83766089582681;0.274760576365678;50;"main00028"
5;"TypeI";4;0.65;"half.noise";0.25;"gen.MVNX";0;".";-1.17431891354109;0.396331100856472;3;"main00029"
5;"TypeI";4;0.65;"half.noise";0.25;"gen.MVNX";0;".";-1.17431891354109;0.396331100856472;5;"main00030"
5;"TypeI";4;0.65;"half.noise";0.25;"gen.MVNX";0;".";-1.17431891354109;0.396331100856472;10;"main00031"
